,Neighborhood,NeighborhoodLat,NeighborhoodLong,VenueName,VenueLat,VenueLong,VenueCategory
0,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Kaycan - SCARBOROUGH,43.8067676622576,-79.19787526130676,Building
1,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Allied Technical Services,43.80799926036546,-79.1988021573747,Office
2,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Alvin Curling Public School,43.808683,-79.190103,Elementary School
3,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Shell,43.80322660320925,-79.19241398073378,Gas Station
4,"Rouge, Malvern",43.806686299999996,-79.19435340000001,FASTSIGNS,43.8078818,-79.2019677,Business Service
5,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Staples Print & Marketing Services,43.8001751,-79.1969209,Print Shop
6,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Tim Hortons,43.801999861382,-79.1981689631939,Coffee Shop
7,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Wendy's,43.8020084,-79.1980797,Fast Food Restaurant
8,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Circle K,43.80158233642578,-79.1990966796875,Convenience Store
9,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Auto Camping,43.807896,-79.199733,Automotive Shop
10,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Discount Tile,43.80691,-79.201656,
11,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Wendy's,43.80744841934756,-79.19905558052072,Fast Food Restaurant
12,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Afzal Islamic Montessori,43.809612,-79.199794,School
13,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Hydrografica,43.80455318899776,-79.19955968856812,Design Studio
14,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Charley's West Indian Foods Ltd,43.8005806,-79.1993089,Caribbean Restaurant
15,"Rouge, Malvern",43.806686299999996,-79.19435340000001,The Home Depot,43.80159411151327,-79.19606888828757,Hardware Store
16,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Pleasant Corner,43.80116435360954,-79.20025373002397,Shopping Mall
17,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Mr Jerk,43.801262219554275,-79.19975818333775,African Restaurant
18,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Fit4Less,43.800135,-79.198683,Gym
19,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Mr. Lube,43.802802,-79.194764,Automotive Shop
20,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Scarsview Chrysler Ram Dodge Jeep,43.8004684,-79.1895676,Automotive Shop
21,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Staples Morningside,43.80028467632823,-79.19660657644272,Paper / Office Supplies Store
22,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Harvey's,43.80010575211872,-79.19825833589329,Fast Food Restaurant
23,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Swiss Chalet,43.8001594080463,-79.19851496097397,BBQ Joint
24,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Mcasphalt industries limited,43.80466,-79.187097,
25,"Rouge, Malvern",43.806686299999996,-79.19435340000001,U-Haul Neighborhood Dealer,43.80162346186158,-79.19600894848571,Storage Facility
26,"Rouge, Malvern",43.806686299999996,-79.19435340000001,My Home,43.80769285425522,-79.20092868701526,
27,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Bulova,43.80948036479884,-79.19898396100496,
28,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Freeway Ford,43.80120871295401,-79.18933135680663,
29,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Pakeer Sahadevan - Re/MAX Community Realty Inc.,43.8025515,-79.1994219,
30,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Quick Lane Tire & Auto Centre,43.801101,-79.189315,Auto Garage
31,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Rouge Park - Woodland Trail,43.80178186082014,-79.20042735921538,Trail
32,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Footzone Orthotics / Visual image,43.80135973092631,-79.19816308728889,Office
33,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Evergreen College,43.802162170410156,-79.19965362548828,College Academic Building
34,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Morningside Nissan,43.799931191998176,-79.19213027284651,
35,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Fortress Technology Inc.,43.80167719599126,-79.19412984131239,Coworking Space
36,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Extendicare Rouge Valley,43.803974196360905,-79.18938645437935,Medical Center
37,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Wood Bison Paddock,43.81173177207037,-79.2007083234753,Zoo Exhibit
38,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Chrysler,43.80035630468027,-79.18964624404907,Auto Dealership
39,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Dr Arla A. Rondilla & Associates Dental Office,43.80276089138169,-79.19916576428497,Dentist's Office
40,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Chester fried express,43.8004095,-79.1991875,Fried Chicken Joint
41,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Charley's Exotic Cuisine,43.80098159718747,-79.20023292303085,Chinese Restaurant
42,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Bela,43.802742,-79.197025,
43,"Rouge, Malvern",43.806686299999996,-79.19435340000001,B.K. Sethi,43.802158,-79.198017,Office
44,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Milner Medical Centre,43.79963223449015,-79.19790966174618,Doctor's Office
45,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Cascades (Metro Waste),43.807494027880885,-79.19507299669937,Building
46,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Milner Family Dental Care,43.80026043277631,-79.1976011427757,Dentist's Office
47,"Rouge, Malvern",43.806686299999996,-79.19435340000001,ABG,43.805559,-79.195632,Factory
48,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Dupont Canada,43.805926550874105,-79.19769480042692,Building
49,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Fix Auto - Morningside Nissan,43.799778,-79.19217,Automotive Shop
50,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Just Soups,43.80128641128365,-79.1988021573747,Caribbean Restaurant
51,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Deep Blue Aquarium,43.805047,-79.199588,Pet Store
52,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Blue Ocean Nails & Spa,43.801053,-79.19902,Nail Salon
53,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Rogue Valley Mitsubishi,43.800459,-79.191471,Automotive Shop
54,"Rouge, Malvern",43.806686299999996,-79.19435340000001,The Experience,43.80122065712124,-79.19783804136077,Salon / Barbershop
55,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Paradise Salon and Med Spa,43.802074,-79.199198,Salon / Barbershop
56,"Rouge, Malvern",43.806686299999996,-79.19435340000001,T 1 Trading,43.80854,-79.195511,Factory
57,"Rouge, Malvern",43.806686299999996,-79.19435340000001,DUCA Credit Union,43.802567,-79.199312,
58,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Ecole Laure-Riese,43.808620908246624,-79.20227289346303,
59,"Rouge, Malvern",43.806686299999996,-79.19435340000001,One Block At A Time,43.803433,-79.199721,
60,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Century 21 Rouge Realty Inc.,43.80265,-79.199187,Office
61,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Morningside Doctors,43.801461,-79.197942,Doctor's Office
62,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Next Century Publishing Canada,43.804905,-79.200428,Tech Startup
63,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Canadian feed screw,43.80661628450551,-79.19940816811345,Office
64,"Rouge, Malvern",43.806686299999996,-79.19435340000001,CHHMA,43.806490939230166,-79.20100030505493,Office
65,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Tower Litho,43.80966592922419,-79.19901150697899,Office
66,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Doctor's Office,43.800769703782194,-79.19943571396367,Doctor's Office
67,"Rouge, Malvern",43.806686299999996,-79.19435340000001,C. G. Turner & Associates Ltd,43.805512,-79.199141,Office
68,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Scarborough Distribution Centre,43.807525584182095,-79.1976892911559,Factory
69,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Lee Valley,43.803161304831846,-79.19968142252247,Hobby Shop
70,"Rouge, Malvern",43.806686299999996,-79.19435340000001,First Choice Haircutters,43.799770989581745,-79.19797577282293,Salon / Barbershop
71,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Gunaam's Super Market,43.80111,-79.198604,Department Store
72,"Rouge, Malvern",43.806686299999996,-79.19435340000001,MMA World Academy,43.80025935327685,-79.19522661480777,Martial Arts Dojo
73,"Rouge, Malvern",43.806686299999996,-79.19435340000001,Gross Factory Washroom,43.80407,-79.19997,Factory
